Origin,Destination,Distance,Time
1,2,784,192
1,3,784,192
1,4,855,268
1,5,1169,227
1,6,1169,227
1,7,582,219
1,8,1002,232
1,9,1043,315
1,10,617,162
1,11,617,162
1,12,1436,309
1,13,580,218
1,14,831,198
1,15,582,219
1,16,861,206
1,17,1152,225
1,18,1470,314
1,19,1249,241
1,20,645,168
1,21,1304,251
1,22,482,201
1,23,1159,334
1,24,874,270
1,25,882,207
1,26,923,279
1,27,1333,255
1,28,841,203
1,29,618,164
1,30,1223,239
1,31,892,273
1,32,1186,230
1,33,1169,226
1,34,1087,248
1,35,766,250
1,36,1373,307
1,37,206,145
1,38,474,138
1,39,176,118
1,40,1413,376
1,41,448,137
1,42,599,159
1,43,987,230
1,44,805,197
1,45,1223,341
1,46,1223,341
1,47,752,188
1,48,993,230
1,49,706,178
1,50,243,99
1,51,938,220
1,52,628,166
1,53,1473,317
1,54,1825,383
1,55,849,264
1,56,1266,347
1,57,378,182
1,58,197,90
1,59,205,92
1,60,1990,410
1,61,506,143
1,62,722,242
1,63,1022,201
1,64,722,181
1,65,190,130
1,66,190,130
1,67,499,142
1,68,632,167
1,69,328,174
1,70,475,138
1,71,170,87
1,72,917,278
1,73,217,94
1,74,623,225
1,75,651,170
1,76,1283,247
1,77,1904,396
1,78,1904,396
1,79,979,228
1,80,1792,377
1,81,251,99
1,82,589,157
1,83,1097,321
1,84,338,175
1,85,1085,322
1,86,112,76
1,87,251,99
1,88,1674,346
1,89,1133,330
1,90,1470,314
1,91,1052,261
1,92,748,185
1,93,1414,272
1,94,1923,384
1,95,1314,253
1,96,1408,270
1,97,1432,274
1,98,930,219
1,99,1383,265
1,100,1281,293
1,101,1340,257
1,102,552,152
1,103,1193,264
1,104,1147,257
1,105,1167,260
1,106,1061,206
1,107,917,278
1,108,502,144
1,109,1102,246
1,110,1102,246
1,111,190,130
1,112,75,13
1,113,1304,251
1,114,634,229
1,115,264,198
1,116,615,161
1,117,612,162
1,118,511,206
1,119,1861,348
1,120,611,160
1,121,557,214
1,122,1408,270
1,123,1411,374
1,124,175,106
1,125,43,7
1,126,638,166
1,127,1251,244
1,128,1295,285
1,129,611,160
1,130,1418,271
2,1,863,153
2,3,0,0
2,4,417,76
2,5,600,101
2,6,600,101
2,7,337,61
2,8,219,40
2,9,969,174
2,10,167,28
2,11,167,28
2,12,653,117
2,13,502,90
2,14,217,37
2,15,337,61
2,16,77,14
2,17,625,107
2,18,686,122
2,19,493,85
2,20,488,83
2,21,427,72
2,22,686,125
2,23,853,153
2,24,735,134
2,25,268,46
2,26,784,143
2,27,314,52
2,28,58,11
2,29,462,79
2,30,696,121
2,31,753,137
2,32,583,99
2,33,478,81
2,34,304,56
2,35,807,144
2,36,1786,381
2,37,657,115
2,38,254,45
2,39,687,120
2,40,1215,211
2,41,598,107
2,42,185,31
2,43,203,37
2,44,283,52
2,45,1345,235
2,46,1345,235
2,47,235,42
2,48,209,38
2,49,77,13
2,50,541,96
2,51,154,28
2,52,440,75
2,53,690,125
